alt,alt_error_m,east,frame_id,init_xy_error_m,method,north,strategy,xy_error_m,yaw,yaw_error_deg
107.96588731184602,0.1651126881539824,254497.36693788887,000044.jpg,1.4311733807480536,refined,3364591.4673990053,raw_refined_only,0.5396687985567573,-149.24411464173446,178.44411464173444
107.00929874181747,0.9757012581825251,254496.4789258359,000045.jpg,1.744391845490635,refined,3364594.27450469,raw_refined_only,2.7657111145493594,-147.24960615148214,176.44960615148213
108.16167125757784,0.19867125757784265,254499.46532196982,000046.jpg,3.1761427591638522,refined,3364591.3818570888,raw_refined_only,1.8618239684503797,-153.05742375576747,177.7425762442325
107.11039280612022,0.9526071938797855,254500.75023736493,000047.jpg,1.9312640072184801,refined,3364590.309796634,raw_refined_only,3.9614858431305042,-154.1809834838769,176.6190165161231
107.44159823283553,0.6854017671644641,254501.12686083422,000048.jpg,3.9381888648368575,refined,3364591.2811435983,raw_refined_only,3.831036007805126,-150.76796581885876,179.96796581885874
107.27177355252206,1.1512264474779386,254493.26473308064,000049.jpg,7.114187152486687,refined,3364607.6369413915,raw_refined_only,13.819226428748001,-148.88098019654302,178.080980196543
109.57032510079443,0.5843251007944303,254505.27439155645,000050.jpg,4.645694277476121,refined,3364588.276497358,raw_refined_only,9.471500204644167,-146.80470647046147,176.00470647046146
110.75116473902017,1.28116473902017,254500.89945815376,000051.jpg,1.6064949981140477,refined,3364597.3423143257,raw_refined_only,0.45192245594068653,-150.16303279942622,179.3630327994262
110.6701799472794,0.7671799472793879,254502.43361914123,000052.jpg,1.078483091317743,refined,3364596.7362654177,raw_refined_only,1.7655026018310704,-154.562568612981,176.237431387019
104.37390446662903,0.7270955333709708,254504.19654112495,000053.jpg,2.8177880654662877,refined,3364594.4668829623,raw_refined_only,5.156368099967244,-149.33905099726005,178.53905099726003
100.03033633902669,0.4476636609733049,254502.34222058803,000054.jpg,5.841082436323703,refined,3364599.9595989715,raw_refined_only,0.4718025602900234,-148.01559820126195,177.21559820126194
99.13600159436464,0.1850015943646497,254502.93116052114,000055.jpg,1.4125083062805972,refined,3364601.2326380787,raw_refined_only,0.4075032885269119,-160.06802266428954,170.73197733571044
101.5103101823479,0.8436898176521055,254506.45229634133,000056.jpg,3.1418607703918777,refined,3364596.369214821,raw_refined_only,6.132770812980455,-156.69901090205033,174.10098909794965
104.33341675717384,1.2774167571738388,254503.76643079627,000057.jpg,5.357914343783149,refined,3364602.4701635307,raw_refined_only,0.5547666894103429,-144.14265845387376,173.34265845387375
102.54823932796717,0.4207606720328272,254502.2062846458,000058.jpg,3.2762417550560237,refined,3364609.054105765,raw_refined_only,5.989239994333214,-158.44889047432173,172.35110952567828
101.89762334153056,0.3293766584694424,254504.04350097958,000059.jpg,1.41056856412715,refined,3364606.1485965424,raw_refined_only,2.028355868807177,-149.5979671564689,178.7979671564689
97.69105465710163,1.2689453428983626,254508.2399627402,000060.jpg,3.107998904696465,refined,3364599.688276463,raw_refined_only,6.2198554187087804,-151.68858367441445,179.11141632558554
99.98469323292375,1.2636932329237425,254506.2534424736,000061.jpg,1.2329916146010917,refined,3364605.0405094307,raw_refined_only,1.2034471799607354,-143.9017541090778,173.1017541090778
99.76614052895457,1.0681405289545722,254503.93755856567,000062.jpg,2.4409705514998064,refined,3364611.0367187075,raw_refined_only,4.78747726211527,-147.946050997542,177.14605099754198
99.80973787978292,1.0947378797829117,254509.67556806875,000063.jpg,3.352405617664904,refined,3364603.3359287274,raw_refined_only,5.2833058893117,-142.70209463347052,171.9020946334705
99.19293621648103,0.48593621648103635,254510.29502878722,000064.jpg,3.044882971593019,refined,3364603.8711105627,raw_refined_only,5.643251475475913,-145.75066120000847,174.95066120000845
100.43804270680994,1.7260427068099347,254509.52943506156,000065.jpg,2.020437721659263,refined,3364605.909745137,raw_refined_only,4.0664554263749855,-155.7942199016027,175.00578009839728
98.00460703484714,0.9073929651528658,254509.0140371733,000066.jpg,1.5110626615027245,refined,3364609.0109926625,raw_refined_only,1.6404494126048619,-145.92871077680402,175.128710776804
99.75288769043982,0.6598876904398168,254511.9838062321,000067.jpg,3.652663712946468,refined,3364604.790793894,raw_refined_only,7.27519033675109,-152.52717338585813,178.27282661414188
99.57431411277503,0.3403141127750331,254508.3873142708,000068.jpg,6.070978404380088,refined,3364613.979709113,raw_refined_only,2.0357635285931193,-148.2583378602985,177.45833786029849
99.87709031812847,0.7660903181284624,254509.83417491234,000069.jpg,0.5148464563544212,refined,3364612.855202048,raw_refined_only,0.45577173553153305,-151.64379293074214,179.1562070692579
